Depth(m),TVD(m),SPP Avg(bar),Flow In Pum Avg(lpm),ROP Avg(m/hr),Torque Abs Avg(kN-m),WOB Avg(mton),RPM Surface Avg(rpm),Dens Mud(sg),Annular Press(barg),well_id,SPP_smooth,SPP_ratio,AP_smooth,AP_ratio,mode,distance_to_low_pressure_m,is_core_drill
2317.0,1994.6418,76.9538,1150.2616,60.4209,16.3336,5.5368,78.9045,1.209,252.3575,A,92.1052,0.8354989729135814,253.0813,0.9971400494623665,low_pressure_event,0.0,False
2318.0,1994.705,91.8895,1149.7748,62.8579,16.7293,6.1705,79.052,1.2099,253.1976,A,92.1052,0.9976581126798487,253.0813,1.0004595361253479,low_pressure_event,0.0,False
2319.0,1994.7665,92.1052,1149.825,63.8651,16.8066,6.818,78.7773,1.2097,253.1834,A,92.1052,1.0,253.0813,1.0004034276732419,low_pressure_event,0.0,False
2320.0,1994.8296,92.1526,1149.8331,58.5566,17.3624,6.7235,78.5877,1.2103,253.1884,A,92.1052,1.0005146289243172,253.1762,1.0000481877838439,drill,1.0,False
2321.0,1994.89,91.5924,1149.7955,61.7156,17.7267,6.6688,78.819,1.21,253.2562,A,92.1526,0.9939209528542873,253.1834,1.0002875385985022,drill,2.0,False
2322.0,1994.9478,92.314,1149.7748,63.5618,16.4371,5.9925,79.358,1.2101,253.414,A,92.1526,1.0017514427156693,253.1884,1.0008910360822216,drill,3.0,False
2323.0,1995.0045,92.1771,1149.7748,52.9936,17.1128,6.2008,78.3678,1.2085,253.3938,A,92.1526,1.0002658633614243,253.1976,1.0007748888615058,drill,4.0,False
2324.0,1995.0575,92.7865,1149.7748,59.3092,17.4694,5.5955,78.8458,1.2084,253.5294,A,92.1052,1.007396976500784,253.2562,1.0010787495034672,drill,3.0,False
2325.0,1995.1108,92.4535,1149.8158,58.0215,17.5831,6.9094,78.4075,1.2089,253.4874,A,91.8895,1.0061378068223248,253.2562,1.000912909535877,drill,2.0,False
2326.0,1995.1628,92.673,1149.8623,60.4428,17.8002,7.313,78.8189,1.2101,253.6225,A,91.8895,1.0085265454703747,253.2562,1.0014463614316254,drill,1.0,False
2327.0,1995.2118,91.3033,1149.8755,57.8562,17.6964,7.1259,78.3525,1.2101,253.1762,A,91.8895,0.9936205986538178,253.2562,0.9996841143474473,low_pressure_event,0.0,False
2328.0,1995.2621,73.0251,1150.541,64.1704,17.187,7.0645,78.9568,1.2102,251.9938,A,91.8895,0.7947055974839344,253.3383,0.9946928672056298,low_pressure_event,0.0,False
2329.0,1995.3104,77.3303,1150.0675,68.5295,18.1266,8.0558,78.5681,1.2101,252.989,A,92.1052,0.8395866900023017,253.3938,0.9984024865643911,low_pressure_event,0.0,False
2330.0,1995.3533,91.6511,1149.7748,59.1722,17.611,8.0219,78.9493,1.2099,253.8049,A,92.1526,0.9945579397651286,253.414,1.0015425351401266,low_pressure_event,0.0,False
2331.0,1995.3999,92.4384,1149.7748,56.9193,17.1197,7.0638,79.1366,1.2087,253.8104,A,92.1771,1.0028347604773855,253.4874,1.001274225069964,low_pressure_event,0.0,False
